  *A0                        3861.547274 secs A0 => migration/0:18
  *B0                        3861.547279 secs B0 => yes:6428
   B0 *C0                    3861.549892 secs C0 => migration/1:23
   B0 *D0                    3861.549897 secs D0 => yes:6409
   B0  D0 *E0                3861.550198 secs E0 => migration/2:29
   B0  D0 *F0                3861.550203 secs F0 => yes:6408
  *G0  D0  F0                3861.551223 secs G0 => rcu_preempt:17
  *B0  D0  F0                3861.551225 secs 
   B0  D0  F0 *H0            3861.554253 secs H0 => migration/3:35
   B0  D0  F0 *I0            3861.554259 secs I0 => yes:6437
   B0  D0  F0  I0 *J0        3861.556242 secs J0 => migration/4:41
   B0  D0  F0  I0 *K0        3861.556247 secs K0 => yes:6422
   B0  D0  F0  I0  K0 *L0    3861.557327 secs L0 => yes:6432
   B0  D0 *M0  I0  K0  L0    3861.565847 secs M0 => VBoxClient:3004
   B0  D0 *F0  I0  K0  L0    3861.565858 secs 
   B0 *N0  F0  I0  K0  L0    3861.570083 secs N0 => gnome-system-mo:4725
   B0  N0  F0  I0  K0 *O0    3861.571940 secs O0 => gnome-shell:2280
   B0 *D0  F0  I0  K0  O0    3861.571946 secs 
   B0 *N0  F0  I0  K0  O0    3861.572211 secs 
   B0 *D0  F0  I0  K0  O0    3861.572240 secs 
   B0  D0  F0  I0  K0 *L0    3861.572249 secs 
   B0  D0  F0  I0  K0 *O0    3861.577191 secs 
   B0  D0  F0  I0 *P0  O0    3861.577557 secs P0 => llvmpipe-1:2308
   B0 *Q0  F0  I0  P0  O0    3861.577558 secs Q0 => llvmpipe-2:2309
   B0  Q0 *R0  I0  P0  O0    3861.577561 secs R0 => llvmpipe-3:2310
   B0 *D0  R0  I0  P0  O0    3861.577565 secs 
   B0  D0  R0 *S0  P0  O0    3861.577565 secs S0 => llvmpipe-4:2311
   B0  D0 *F0  S0  P0  O0    3861.577568 secs 
   B0  D0  F0  S0  P0 *T0    3861.577568 secs T0 => llvmpipe-0:2307
   B0  D0  F0  S0 *U0  T0    3861.577569 secs U0 => llvmpipe-5:2312
   B0  D0  F0 *I0  U0  T0    3861.577571 secs 
   B0  D0  F0  I0 *K0  T0    3861.577573 secs 
   B0 *Q0  F0  I0  K0  T0    3861.577584 secs 
   B0  Q0 *R0  I0  K0  T0    3861.577586 secs 
   B0  Q0  R0  I0 *U0  T0    3861.577588 secs 
   B0  Q0  R0 *S0  U0  T0    3861.577588 secs 
  *G0  Q0  R0  S0  U0  T0    3861.578179 secs 
  *B0  Q0  R0  S0  U0  T0    3861.578182 secs 
   B0  Q0  R0  S0 *P0  T0    3861.578896 secs 
   B0 *D0  R0  S0  P0  T0    3861.578897 secs 
   B0  D0  R0  S0  P0 *L0    3861.578899 secs 
   B0  D0  R0  S0 *K0  L0    3861.578900 secs 
   B0  D0 *F0  S0  K0  L0    3861.578902 secs 
   B0  D0  F0 *I0  K0  L0    3861.578906 secs 
   B0  D0  F0  I0  K0 *O0    3861.578906 secs 
   B0  D0  F0  I0  K0 *T0    3861.578913 secs 
   B0  D0  F0  I0  K0 *O0    3861.578916 secs 
   B0  D0  F0  I0 *U0  O0    3861.578918 secs 
   B0  D0  F0  I0  U0 *T0    3861.578918 secs 
   B0  D0  F0  I0  U0 *L0    3861.578924 secs 
   B0  D0  F0  I0 *K0  L0    3861.578925 secs 
   B0 *Q0  F0  I0  K0  L0    3861.578928 secs 
   B0  Q0  F0  I0  K0 *O0    3861.578929 secs 
   B0  Q0 *R0  I0  K0  O0    3861.578940 secs 
